gvkey,iid,datadate,tic,prccd,return,dollar
108132,1,20160826,SPY,217.29,1.080941522,10809.41522
108132,1,20160829,SPY,218.3608,1.086268376,10862.68376
108132,1,20160830,SPY,218,1.084473523,10844.73523
108132,1,20160831,SPY,217.38,1.08138924,10813.8924
108132,1,20160901,SPY,217.39,1.081438987,10814.38987
108132,1,20160902,SPY,218.37,1.086314143,10863.14143
108132,1,20160906,SPY,219.0308,1.089601391,10896.01391
108132,1,20160907,SPY,219.01,1.089497919,10894.97919
108132,1,20160908,SPY,218.51,1.087010594,10870.10594
108132,1,20160909,SPY,213.28,1.060993179,10609.93179
108132,1,20160912,SPY,216.34,1.076215605,10762.15605
108132,1,20160913,SPY,213.23,1.060744446,10607.44446
108132,1,20160914,SPY,213.15,1.060346474,10603.46474
108132,1,20160915,SPY,215.28,1.070942477,10709.42477
108132,1,20160916,SPY,213.37,1.061440897,10614.40897
108132,1,20160919,SPY,213.41,1.061639883,10616.39883
108132,1,20160920,SPY,213.42,1.06168963,10616.8963
108132,1,20160921,SPY,215.82,1.073628788,10736.28788
108132,1,20160922,SPY,217.18,1.080394311,10803.94311
108132,1,20160923,SPY,215.99,1.074474478,10744.74478
108132,1,20160926,SPY,214.24,1.065768842,10657.68842
108132,1,20160927,SPY,215.57,1.072385125,10723.85125
108132,1,20160928,SPY,216.64,1.077708,10777.08
108132,1,20160929,SPY,214.68,1.067957688,10679.57688
108132,1,20160930,SPY,216.3,1.076016619,10760.16619
108132,1,20161003,SPY,215.78,1.073429802,10734.29802
108132,1,20161004,SPY,214.68,1.067957688,10679.57688
108132,1,20161005,SPY,215.63,1.072683604,10726.83604
108132,1,20161006,SPY,215.78,1.073429802,10734.29802
108132,1,20161007,SPY,215.04,1.069748561,10697.48561
108132,1,20161010,SPY,216.16,1.075320168,10753.20168
108132,1,20161011,SPY,213.43,1.061739376,10617.39376
108132,1,20161012,SPY,213.71,1.063132278,10631.32278
108132,1,20161013,SPY,213.01,1.059650023,10596.50023
108132,1,20161014,SPY,213.12,1.060197235,10601.97235
108132,1,20161017,SPY,212.38,1.056515994,10565.15994
108132,1,20161018,SPY,213.71,1.063132278,10631.32278
108132,1,20161019,SPY,214.28,1.065967828,10659.67828
108132,1,20161020,SPY,213.88,1.063977968,10639.77968
108132,1,20161021,SPY,213.98,1.064475433,10644.75433
108132,1,20161024,SPY,214.89,1.069002364,10690.02364
108132,1,20161025,SPY,214.17,1.065420617,10654.20617
108132,1,20161026,SPY,213.74,1.063281517,10632.81517
108132,1,20161027,SPY,213.17,1.060445967,10604.45967
108132,1,20161028,SPY,212.54,1.057311938,10573.11938
108132,1,20161031,SPY,212.55,1.057361685,10573.61685
108132,1,20161101,SPY,211.01,1.049700725,10497.00725
108132,1,20161102,SPY,209.74,1.043382921,10433.82921
108132,1,20161103,SPY,208.78,1.038607257,10386.07257
108132,1,20161104,SPY,208.55,1.037463088,10374.63088
108132,1,20161107,SPY,213.15,1.060346474,10603.46474
108132,1,20161108,SPY,214.11,1.065122138,10651.22138
108132,1,20161109,SPY,216.3792,1.076410612,10764.10612
108132,1,20161110,SPY,216.92,1.079100902,10791.00902
108132,1,20161111,SPY,216.42,1.076613577,10766.13577
108132,1,20161114,SPY,216.59,1.077459268,10774.59268
108132,1,20161115,SPY,218.28,1.085866425,10858.66425
108132,1,20161116,SPY,217.87,1.083826819,10838.26819
108132,1,20161117,SPY,218.99,1.089398426,10893.98426
108132,1,20161118,SPY,218.5,1.086960848,10869.60848
108132,1,20161121,SPY,220.15,1.095169019,10951.69019
108132,1,20161122,SPY,220.58,1.097308118,10973.08118
108132,1,20161123,SPY,220.7,1.097905076,10979.05076
108132,1,20161125,SPY,221.52,1.101984288,11019.84288
108132,1,20161128,SPY,220.48,1.096810653,10968.10653
108132,1,20161129,SPY,220.91,1.098949752,10989.49752
108132,1,20161130,SPY,220.38,1.096313188,10963.13188
108132,1,20161201,SPY,219.57,1.092283722,10922.83722
108132,1,20161202,SPY,219.68,1.092830934,10928.30934
108132,1,20161205,SPY,221,1.09939747,10993.9747
108132,1,20161206,SPY,221.7,1.102879725,11028.79725
108132,1,20161207,SPY,224.6,1.117306208,11173.06208
108132,1,20161208,SPY,225.15,1.120042265,11200.42265
108132,1,20161209,SPY,226.51,1.126807788,11268.07788
108132,1,20161212,SPY,226.25,1.125514379,11255.14379
108132,1,20161213,SPY,227.76,1.133026099,11330.26099
108132,1,20161214,SPY,225.88,1.123673759,11236.73759
108132,1,20161215,SPY,226.81,1.128300182,11283.00182
108132,1,20161216,SPY,225.04,1.119495053,11194.95053
108132,1,20161219,SPY,225.53,1.121932631,11219.32631
108132,1,20161220,SPY,226.4,1.126260576,11262.60576
108132,1,20161221,SPY,225.77,1.123126547,11231.26547
108132,1,20161222,SPY,225.38,1.121186434,11211.86434
108132,1,20161223,SPY,225.71,1.122828068,11228.28068
108132,1,20161227,SPY,226.27,1.125613872,11256.13872
108132,1,20161228,SPY,224.4,1.116311278,11163.11278
108132,1,20161229,SPY,224.35,1.116062545,11160.62545
108132,1,20161230,SPY,223.53,1.111983333,11119.83333
108132,1,20170103,SPY,225.24,1.120489983,11204.89983
108132,1,20170104,SPY,226.58,1.127156013,11271.56013
108132,1,20170105,SPY,226.4,1.126260576,11262.60576
108132,1,20170106,SPY,227.21,1.130290042,11302.90042
108132,1,20170109,SPY,226.46,1.126559055,11265.59055
108132,1,20170110,SPY,226.46,1.126559055,11265.59055
108132,1,20170111,SPY,227.1,1.129742831,11297.42831
108132,1,20170112,SPY,226.53,1.12690728,11269.0728
108132,1,20170113,SPY,227.05,1.129494098,11294.94098
108132,1,20170117,SPY,226.25,1.125514379,11255.14379
108132,1,20170118,SPY,226.75,1.128001703,11280.01703
108132,1,20170119,SPY,225.91,1.123822998,11238.22998
108132,1,20170120,SPY,226.74,1.127951957,11279.51957
108132,1,20170123,SPY,226.15,1.125016914,11250.16914
108132,1,20170124,SPY,227.6,1.132230155,11322.30155
108132,1,20170125,SPY,229.57,1.142030214,11420.30214
108132,1,20170126,SPY,229.33,1.140836298,11408.36298
108132,1,20170127,SPY,228.97,1.139045425,11390.45425
108132,1,20170130,SPY,227.55,1.131981423,11319.81423
108132,1,20170131,SPY,227.53,1.13188193,11318.8193
108132,1,20170201,SPY,227.62,1.132329648,11323.29648
108132,1,20170202,SPY,227.77,1.133075845,11330.75845
108132,1,20170203,SPY,229.34,1.140886045,11408.86045
108132,1,20170206,SPY,228.93,1.138846439,11388.46439
108132,1,20170207,SPY,228.94,1.138896185,11388.96185
108132,1,20170208,SPY,229.24,1.14038858,11403.8858
108132,1,20170209,SPY,230.6,1.147154103,11471.54103
108132,1,20170210,SPY,231.51,1.151681033,11516.81033
108132,1,20170213,SPY,232.77,1.157949091,11579.49091
108132,1,20170214,SPY,233.7,1.162575515,11625.75515
108132,1,20170215,SPY,234.92,1.168644587,11686.44587
108132,1,20170216,SPY,234.72,1.167649657,11676.49657
108132,1,20170217,SPY,235.09,1.169490278,11694.90278
108132,1,20170221,SPY,236.49,1.176454786,11764.54786
108132,1,20170222,SPY,236.28,1.17541011,11754.1011
108132,1,20170223,SPY,236.44,1.176206054,11762.06054
108132,1,20170224,SPY,236.74,1.177698449,11776.98449
108132,1,20170227,SPY,237.11,1.179539069,11795.39069
108132,1,20170228,SPY,236.47,1.176355293,11763.55293
108132,1,20170301,SPY,239.78,1.192821382,11928.21382
108132,1,20170302,SPY,238.27,1.185309662,11853.09662
108132,1,20170303,SPY,238.42,1.186055859,11860.55859
108132,1,20170306,SPY,237.71,1.182523858,11825.23858
108132,1,20170307,SPY,237,1.178991857,11789.91857
108132,1,20170308,SPY,236.56,1.176803012,11768.03012
108132,1,20170309,SPY,236.86,1.178295407,11782.95407
108132,1,20170310,SPY,237.69,1.182424365,11824.24365
108132,1,20170313,SPY,237.81,1.183021323,11830.21323
108132,1,20170314,SPY,236.9,1.178494393,11784.94393
108132,1,20170315,SPY,238.95,1.188692423,11886.92423
108132,1,20170316,SPY,238.48,1.186354338,11863.54338
108132,1,20170317,SPY,237.03,1.179141097,11791.41097
108132,1,20170320,SPY,236.77,1.177847688,11778.47688
108132,1,20170321,SPY,233.73,1.162724755,11627.24755
108132,1,20170322,SPY,234.28,1.165460812,11654.60812
108132,1,20170323,SPY,234.03,1.164217149,11642.17149
108132,1,20170324,SPY,233.86,1.163371459,11633.71459
108132,1,20170327,SPY,233.62,1.162177543,11621.77543
108132,1,20170328,SPY,235.32,1.170634447,11706.34447
108132,1,20170329,SPY,235.54,1.17172887,11717.2887
108132,1,20170330,SPY,236.29,1.175459857,11754.59857
108132,1,20170331,SPY,235.74,1.1727238,11727.238
108132,1,20170403,SPY,235.33,1.170684193,11706.84193
108132,1,20170404,SPY,235.48,1.171430391,11714.30391
108132,1,20170405,SPY,234.78,1.167948136,11679.48136
108132,1,20170406,SPY,235.44,1.171231405,11712.31405
108132,1,20170407,SPY,235.2,1.170037489,11700.37489
108132,1,20170410,SPY,235.34,1.17073394,11707.3394
108132,1,20170411,SPY,235.06,1.169341038,11693.41038
108132,1,20170412,SPY,234.03,1.164217149,11642.17149
108132,1,20170413,SPY,232.51,1.156655683,11566.55683
108132,1,20170417,SPY,234.57,1.16690346,11669.0346
108132,1,20170418,SPY,233.87,1.163421206,11634.21206
108132,1,20170419,SPY,233.44,1.161282106,11612.82106
108132,1,20170420,SPY,235.34,1.17073394,11707.3394
108132,1,20170421,SPY,234.59,1.167002953,11670.02953
108132,1,20170424,SPY,237.17,1.179837548,11798.37548
108132,1,20170425,SPY,238.55,1.186702564,11867.02564
108132,1,20170426,SPY,238.4,1.185956366,11859.56366
108132,1,20170427,SPY,238.6,1.186951296,11869.51296
108132,1,20170428,SPY,238.08,1.184364479,11843.64479
108132,1,20170501,SPY,238.68,1.187349268,11873.49268
108132,1,20170502,SPY,238.77,1.187796987,11877.96987
108132,1,20170503,SPY,238.48,1.186354338,11863.54338
108132,1,20170504,SPY,238.76,1.18774724,11877.4724
108132,1,20170505,SPY,239.7,1.19242341,11924.2341
108132,1,20170508,SPY,239.66,1.192224424,11922.24424
108132,1,20170509,SPY,239.44,1.191130002,11911.30002
108132,1,20170510,SPY,239.87,1.193269101,11932.69101
108132,1,20170511,SPY,239.38,1.190831523,11908.31523
108132,1,20170512,SPY,238.98,1.188841663,11888.41663
108132,1,20170515,SPY,240.3,1.1954082,11954.082
108132,1,20170516,SPY,240.08,1.194313777,11943.13777
108132,1,20170517,SPY,235.82,1.173121771,11731.21771
108132,1,20170518,SPY,236.77,1.177847688,11778.47688
108132,1,20170519,SPY,238.31,1.185508648,11855.08648
108132,1,20170522,SPY,239.52,1.191527973,11915.27973
108132,1,20170523,SPY,240.05,1.194164538,11941.64538
108132,1,20170524,SPY,240.61,1.196950341,11969.50341
108132,1,20170525,SPY,241.76,1.202671188,12026.71188
108132,1,20170526,SPY,241.71,1.202422455,12024.22455
108132,1,20170530,SPY,241.5,1.201377779,12013.77779
108132,1,20170531,SPY,241.44,1.2010793,12010.793
108132,1,20170601,SPY,243.36,1.210630626,12106.30626
108132,1,20170602,SPY,244.17,1.214660092,12146.60092
108132,1,20170605,SPY,243.99,1.213764655,12137.64655
108132,1,20170606,SPY,243.21,1.209884429,12098.84429
108132,1,20170607,SPY,243.66,1.212123021,12121.23021
108132,1,20170608,SPY,243.78,1.212719979,12127.19979
108132,1,20170609,SPY,243.41,1.210879359,12108.79359
108132,1,20170612,SPY,243.36,1.210630626,12106.30626
108132,1,20170613,SPY,244.55,1.216550459,12165.50459
108132,1,20170614,SPY,244.24,1.215008318,12150.08318
108132,1,20170615,SPY,243.77,1.212670232,12126.70232
108132,1,20170616,SPY,242.64,1.207048879,12070.48879
108132,1,20170619,SPY,244.66,1.21709767,12170.9767
108132,1,20170620,SPY,243.01,1.208889499,12088.89499
108132,1,20170621,SPY,242.95,1.20859102,12085.9102
108132,1,20170622,SPY,242.84,1.208043809,12080.43809
108132,1,20170623,SPY,243.13,1.209486457,12094.86457
108132,1,20170626,SPY,243.29,1.210282401,12102.82401
108132,1,20170627,SPY,241.33,1.200532088,12005.32088
108132,1,20170628,SPY,243.49,1.211277331,12112.77331
108132,1,20170629,SPY,241.35,1.200631581,12006.31581
108132,1,20170630,SPY,241.8,1.202870174,12028.70174
108132,1,20170703,SPY,242.21,1.20490978,12049.0978
108132,1,20170705,SPY,242.77,1.207695583,12076.95583
108132,1,20170706,SPY,240.55,1.196651862,11966.51862
108132,1,20170707,SPY,242.11,1.204412315,12044.12315
108132,1,20170710,SPY,242.37,1.205705724,12057.05724
108132,1,20170711,SPY,242.19,1.204810287,12048.10287
108132,1,20170712,SPY,244.01,1.213864148,12138.64148
108132,1,20170713,SPY,244.42,1.215903754,12159.03754
108132,1,20170714,SPY,245.56,1.221574855,12215.74855
108132,1,20170717,SPY,245.53,1.221425615,12214.25615
108132,1,20170718,SPY,245.66,1.222072319,12220.72319
108132,1,20170719,SPY,246.99,1.228688603,12286.88603
108132,1,20170720,SPY,247.1,1.229235814,12292.35814
108132,1,20170721,SPY,246.88,1.228141391,12281.41391
108132,1,20170724,SPY,246.82,1.227842913,12278.42913
108132,1,20170725,SPY,247.42,1.230827702,12308.27702
108132,1,20170726,SPY,247.43,1.230877449,12308.77449
108132,1,20170727,SPY,247.2,1.229733279,12297.33279
108132,1,20170728,SPY,246.91,1.228290631,12282.90631
108132,1,20170731,SPY,246.77,1.22759418,12275.9418
108132,1,20170801,SPY,247.32,1.230330237,12303.30237
108132,1,20170802,SPY,247.44,1.230927195,12309.27195
108132,1,20170803,SPY,246.96,1.228539363,12285.39363
108132,1,20170804,SPY,247.41,1.230777956,12307.77956
108132,1,20170807,SPY,247.87,1.233066294,12330.66294
108132,1,20170808,SPY,247.26,1.230031758,12300.31758
108132,1,20170809,SPY,247.25,1.229982012,12299.82012
108132,1,20170810,SPY,243.76,1.212620486,12126.20486
108132,1,20170811,SPY,244.12,1.21441136,12144.1136
108132,1,20170814,SPY,246.54,1.226450011,12264.50011
108132,1,20170815,SPY,246.51,1.226300771,12263.00771
108132,1,20170816,SPY,246.94,1.22843987,12284.3987
108132,1,20170817,SPY,243.09,1.209287471,12092.87471
108132,1,20170818,SPY,242.71,1.207397104,12073.97104
108132,1,20170821,SPY,242.9,1.208342288,12083.42288
108132,1,20170822,SPY,245.44,1.220977897,12209.77897
108132,1,20170823,SPY,244.56,1.216600205,12166.00205
108132,1,20170824,SPY,243.99,1.213764655,12137.64655
108132,1,20170825,SPY,244.56,1.216600205,12166.00205
108132,1,20170828,SPY,244.57,1.216649952,12166.49952
108132,1,20170829,SPY,244.85,1.218042854,12180.42854
108132,1,20170830,SPY,246.01,1.223813447,12238.13447
108132,1,20170831,SPY,247.49,1.231175927,12311.75927
108132,1,20170901,SPY,247.84,1.232917055,12329.17055
108132,1,20170905,SPY,246.06,1.224062179,12240.62179
108132,1,20170906,SPY,246.9,1.228240884,12282.40884
108132,1,20170907,SPY,246.87,1.228091645,12280.91645
108132,1,20170908,SPY,246.58,1.226648997,12266.48997
108132,1,20170911,SPY,249.21,1.239732324,12397.32324
108132,1,20170912,SPY,250.05,1.243911029,12439.11029
108132,1,20170913,SPY,250.17,1.244507987,12445.07987
108132,1,20170914,SPY,250.09,1.244110015,12441.10015
108132,1,20170915,SPY,249.19,1.239632831,12396.32831
